jahr,bafoeg_studierende,quelle_bafoeg
2013,665928,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2014,646576,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2015,611377,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2016,583567,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2017,556573,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2018,517675,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2019,489313,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2020,465543,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2021,467595,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2022,489347,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2023,501425,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2024,483814,BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
