jahr,studierende_gesamt,bafoeg_studierende,bafoeg_quote,quelle_studierende,quelle_bafoeg
2013,2616881,665928,0.254473932899509,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2014,2698910,646576,0.23956930760936823,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2015,2757799,611377,0.22169019569591547,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2016,2807010,583567,0.20789630247131288,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2017,2844978,556573,0.19563349874761773,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2018,2868222,517675,0.18048637797213743,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2019,2891049,489313,0.16925102272566117,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2020,2944145,465543,0.1581250244128601,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2021,2941915,467595,0.15894238956597997,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2022,2920263,489347,0.1675694963090653,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2023,2868311,501425,0.1748154227348429,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
2024,2864122,483814,0.1689222735623692,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01",BMFTR-Datenportal Tabelle 2.6.11 (Destatis BAföG-Statistik)
