jahr,studierende_gesamt,bafoeg_studierende,stip_gesamt,stip_bafoeg_Nein,stip_bafoeg_Ja,stipendiaten_quote,bafoeg_quote,nicht_bafoeg,stip_bafoeg_anteil,stip_bafoeg_von_bafoeg,stip_nichtbafoeg_von_nichtbafoeg,ueberrepraesentation
2013,2616881,665928,25824,12750,13074,0.009868236270583187,0.254473932899509,1950953,0.5062732342007435,0.01963275309042419,0.006535267635868214,0.3328757615281053
2014,2698910,646576,26874,13624,13145,0.00995735315368056,0.23956930760936823,2052334,0.48913447942249016,0.020330170003216946,0.006638295715999443,0.32652435837718186
2015,2757799,611377,27629,14783,12846,0.01001849663445378,0.22169019569591547,2146422,0.46494625212638896,0.021011585322967662,0.006887275661542791,0.327784674772462
2016,2807010,583567,28889,15838,13051,0.010291733909034881,0.20789630247131288,2223443,0.4517636470628959,0.022364184403847374,0.007123186877288961,0.31850868105270763
2017,2844978,556573,29451,16367,13074,0.010351925392744689,0.19563349874761773,2288405,0.4439238056432719,0.023490180084193808,0.00715214308656029,0.3044737443870369
2018,2868222,517675,30074,17476,12598,0.010485241379502703,0.18048637797213743,2350547,0.4189000465518388,0.024335731878108852,0.007434865161173122,0.3055122894356482
2019,2891049,489313,30406,17144,12365,0.010517289745002592,0.16925102272566117,2401736,0.406663158587121,0.025270123622303107,0.007138170056992109,0.28247467894031375
2020,2944145,465543,30868,17773,12214,0.010484537955841169,0.1581250244128601,2478602,0.39568485162627964,0.026236029754501733,0.00717057438023531,0.2733101939330184
2021,2941915,467595,32333,19054,12253,0.01099046029541982,0.15894238956597997,2474320,0.3789626697182445,0.026204300730332874,0.00770070160690614,0.29387166962223754
2022,2920263,489347,32075,19061,12157,0.010983599764815704,0.1675694963090653,2430916,0.3790179267342167,0.024843311596883192,0.007841077190655703,0.3156212552451918
2023,2868311,501425,32009,18788,12229,0.011159529074776062,0.1748154227348429,2366886,0.3820487987753444,0.02438849279553273,0.007937855900115172,0.32547545954004825
2024,2864122,483814,31447,18582,11817,0.010979630057658158,0.1689222735623692,2380308,0.3757751136833402,0.024424675598473795,0.007806552765440439,0.31961745956323945
